FIPS,label,type,value,title
20041,KS,county,22.4,
20043,KS,county,22.4,
20045,KS,county,20.2,
20047,KS,county,22.4,
20049,KS,county,22.4,
20051,KS,county,22.4,
20053,KS,county,22.4,
20055,KS,county,22.4,
20057,KS,county,22.4,
20059,KS,county,22.4,
20061,KS,county,22.4,
20063,KS,county,22.4,
20065,KS,county,22.4,
20067,KS,county,22.4,
20069,KS,county,22.4,
20071,KS,county,22.4,
20073,KS,county,22.4,
20075,KS,county,22.4,
20077,KS,county,22.4,
20079,KS,county,23.1,
20081,KS,county,22.4,
20083,KS,county,22.4,
20085,KS,county,22.4,
20087,KS,county,22.4,
20089,KS,county,22.4,
20091,KS,county,25.8,
20093,KS,county,22.4,
20095,KS,county,22.4,
20097,KS,county,22.4,
20099,KS,county,22.4,
20103,KS,county,23.8,
20105,KS,county,22.4,
20107,KS,county,22.4,
20109,KS,county,22.4,
20111,KS,county,22.4,
20113,KS,county,22.4,
20115,KS,county,22.4,
20117,KS,county,22.4,
20119,KS,county,22.4,
20121,KS,county,22.4,
20123,KS,county,22.4,
20125,KS,county,22.4,
20127,KS,county,22.4,
20129,KS,county,22.4,
20131,KS,county,22.4,
20133,KS,county,22.4,
20135,KS,county,22.4,
20137,KS,county,22.4,
20139,KS,county,22.4,
20141,KS,county,22.4,
20143,KS,county,22.4,
20145,KS,county,22.4,
20147,KS,county,22.4,
20149,KS,county,22.4,
20151,KS,county,22.4,
20153,KS,county,22.4,
20155,KS,county,31.5,
20157,KS,county,22.4,
20159,KS,county,22.4,
20161,KS,county,29.9,
20163,KS,county,22.4,
20165,KS,county,22.4,
20167,KS,county,22.4,
20169,KS,county,16.7,
20171,KS,county,22.4,
20173,KS,county,19.9,
20175,KS,county,22.4,
20177,KS,county,19.3,
20179,KS,county,22.4,
20181,KS,county,22.4,
20183,KS,county,22.4,
20185,KS,county,22.4,
20187,KS,county,22.4,
20189,KS,county,22.4,
20191,KS,county,22.4,
20193,KS,county,22.4,
20195,KS,county,22.4,
20197,KS,county,22.4,
20199,KS,county,22.4,
20201,KS,county,22.4,
20203,KS,county,22.4,
20205,KS,county,22.4,
20207,KS,county,22.4,
20209,KS,county,14.9,
72021,KS,county,22.4,
21001,KY,county,28.3,
21003,KY,county,28.3,
21005,KY,county,28.3,
21007,KY,county,28.3,
21009,KY,county,25.4,
21011,KY,county,28.3,
21013,KY,county,22.4,
21015,KY,county,24.7,
21017,KY,county,28.3,
21019,KY,county,31.2,
21021,KY,county,28.3,
21023,KY,county,28.3,
21025,KY,county,28.3,
21027,KY,county,28.3,
21029,KY,county,32.6,
21031,KY,county,28.3,
